td_id,spotsID,scenicSpots,time,day,people,cost
12000746,12711,云南,出发时间/2019-02-04,出行天数/14 天,人物/家庭出游,人均费用/5000RMB
18683611,12711,云南,出发时间/2019-10-16,出行天数/5 天,人物/ 和朋友,人均费用/2800RMB
5453305,12711,云南,出发时间/2016-02-06,出行天数/11 天,人物/ 和朋友,人均费用/1930RMB
17005579,12711,云南,出发时间/2019-09-07,出行天数/9 天,人物/情侣/夫妻,人均费用/16000RMB
3540573,12711,云南,null,null,null,null
5363245,12711,云南,出发时间/2015-02-11,出行天数/8 天,人物/一个人,人均费用/4000RMB
3306955,12711,云南,出发时间/2015-02-14,出行天数/12 天,人物/情侣/夫妻,null
3298319,12711,云南,null,null,人物/ 和朋友,人均费用/3000RMB
18515977,12711,云南,出发时间/2020-01-12,出行天数/15 天,人物/家庭出游,人均费用/3500RMB
18758005,12711,云南,出发时间/2017-11-05,出行天数/16 天,人物/ 和朋友,人均费用/7000RMB
9599677,12711,云南,出发时间/2018-01-25,出行天数/33 天,人物/ 和朋友,人均费用/8000RMB
7414988,12711,云南,出发时间/2017-07-25,出行天数/11 天,人物/ 和朋友,人均费用/8757RMB
18915127,12711,云南,出发时间/2019-04-15,出行天数/10 天,人物/一个人,人均费用/5000RMB
18891067,12711,云南,null,null,null,null
12175458,12711,云南,出发时间/2019-02-21,出行天数/18 天,人物/ 和朋友,人均费用/6500RMB
18654433,12711,云南,出发时间/2019-05-09,出行天数/8 天,人物/ 和朋友,人均费用/5000RMB
9191865,12711,云南,出发时间/2016-10-31,出行天数/5 天,人物/ 和朋友,null
11912326,12711,云南,出发时间/2018-11-16,出行天数/6 天,人物/ 和朋友,人均费用/5000RMB
11333874,12711,云南,出发时间/2018-11-10,出行天数/13 天,人物/和同学,人均费用/6000RMB
13915539,12711,云南,出发时间/2019-06-14,出行天数/2 天,人物/家庭出游,人均费用/1150RMB
9014433,12711,云南,出发时间/2018-03-12,出行天数/5 天,人物/ 和朋友,人均费用/2800RMB
16533807,12711,云南,出发时间/2019-08-02,出行天数/8 天,人物/和同学,null
8072013,12711,云南,出发时间/2017-12-08,出行天数/6 天,人物/ 和朋友,人均费用/2234RMB
5720300,12711,云南,null,null,null,null
17844748,12711,云南,出发时间/2019-10-29,出行天数/12 天,人物/家庭出游,人均费用/3500RMB
16009092,12711,云南,null,null,null,null
18149425,12711,云南,出发时间/2019-07-11,出行天数/10 天,人物/情侣/夫妻,人均费用/4000RMB
6776600,12711,云南,出发时间/2016-05-27,出行天数/9 天,人物/ 和朋友,人均费用/5000RMB
18109792,12711,云南,出发时间/2019-12-05,出行天数/7 天,人物/ 和朋友,null
7047971,12711,云南,出发时间/2017-05-18,出行天数/6 天,人物/一个人,人均费用/2500RMB
12065286,12711,云南,出发时间/2019-02-16,出行天数/8 天,人物/情侣/夫妻,人均费用/3650RMB
5592419,12711,云南,出发时间/2015-10-07,出行天数/17 天,人物/家庭出游,人均费用/5000RMB
6798065,12711,云南,出发时间/2017-02-16,出行天数/8 天,人物/家庭出游,人均费用/2150RMB
17340178,12711,云南,null,null,null,null
8787110,12711,云南,出发时间/2018-01-13,出行天数/7 天,人物/情侣/夫妻,人均费用/3900RMB
18794236,12711,云南,null,null,null,null
11617506,12711,云南,出发时间/2018-12-30,出行天数/8 天,null,人均费用/4700RMB
10041830,12711,云南,出发时间/2018-07-14,出行天数/8 天,null,null
18950272,12711,云南,出发时间/2020-03-25,出行天数/1 天,人物/其它,null
18694063,12711,云南,出发时间/2019-12-22,出行天数/11 天,人物/ 和朋友,人均费用/3500RMB
11518994,12711,云南,出发时间/2018-10-26,出行天数/7 天,人物/情侣/夫妻,null
18494029,12711,云南,出发时间/2020-01-11,出行天数/8 天,人物/ 和朋友,null
18797251,12711,云南,出发时间/2017-06-26,出行天数/7 天,人物/情侣/夫妻,人均费用/3000RMB
7450001,12711,云南,出发时间/2016-09-20,出行天数/6 天,人物/ 和朋友,人均费用/3500RMB
11216442,12711,云南,出发时间/2018-08-15,出行天数/14 天,人物/其它,null
18609046,12711,云南,出发时间/2020-01-01,出行天数/12 天,人物/情侣/夫妻,人均费用/10000RMB
6275789,12711,云南,出发时间/2016-09-30,出行天数/8 天,人物/ 和朋友,人均费用/4565RMB
12173610,12711,云南,出发时间/2019-03-07,出行天数/12 天,人物/家庭出游,人均费用/3900RMB
6583121,12711,云南,出发时间/2017-01-05,出行天数/11 天,人物/家庭出游,人均费用/3000RMB
18865594,12711,云南,null,null,null,null
17252152,12711,云南,出发时间/2019-10-01,出行天数/2 天,人物/带孩子,人均费用/300RMB
19067023,12711,云南,出发时间/2019-04-12,出行天数/1 天,人物/一个人,人均费用/2200RMB
7496366,12711,云南,出发时间/2013-07-20,出行天数/9 天,人物/家庭出游,人均费用/4000RMB
8580946,12711,云南,出发时间/2018-02-16,出行天数/9 天,人物/家庭出游,人均费用/2500RMB
11735114,12711,云南,出发时间/2019-01-18,出行天数/10 天,人物/一个人,人均费用/3000RMB
11278054,12711,云南,出发时间/2018-07-13,出行天数/10 天,人物/家庭出游,人均费用/4500RMB
16870333,12711,云南,出发时间/2019-08-10,出行天数/9 天,人物/家庭出游,人均费用/3500RMB
8720806,12711,云南,出发时间/2018-03-06,出行天数/7 天,人物/一个人,人均费用/3000RMB
5442867,12711,云南,出发时间/2015-05-28,出行天数/12 天,人物/一个人,人均费用/2500RMB
18180016,12711,云南,null,null,null,null
5344029,12711,云南,出发时间/2015-05-22,出行天数/10 天,人物/ 和朋友,人均费用/4000RMB
3330511,12711,云南,出发时间/2015-02-26,出行天数/32 天,人物/其它,人均费用/13000RMB
18967729,12711,云南,null,null,null,null
18786625,12711,云南,null,null,null,null
17647321,12711,云南,出发时间/2019-10-10,出行天数/10 天,人物/ 和朋友,人均费用/4000RMB
7882432,12711,云南,出发时间/2017-09-30,出行天数/7 天,人物/家庭出游,人均费用/5000RMB
15690084,12711,云南,出发时间/2019-03-12,出行天数/8 天,人物/ 和朋友,人均费用/4500RMB
7987533,12711,云南,出发时间/2016-03-04,出行天数/13 天,人物/情侣/夫妻,人均费用/5100RMB
16592004,12711,云南,出发时间/2019-02-04,出行天数/8 天,人物/ 和朋友,人均费用/6000RMB
12104090,12711,云南,出发时间/2019-02-13,出行天数/10 天,人物/家庭出游,人均费用/5000RMB
17629483,12711,云南,出发时间/2019-07-02,出行天数/16 天,人物/ 和朋友,null
8056875,12711,云南,出发时间/2017-11-13,出行天数/12 天,人物/ 和朋友,null
7773340,12711,云南,出发时间/2017-10-01,出行天数/7 天,人物/家庭出游,null
18560656,12711,云南,出发时间/2020-01-17,出行天数/7 天,人物/情侣/夫妻,人均费用/3000RMB
